No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
147,STX,-9.94%,-19.27%,-20.83%,-34.71%,-27.65%,-42.16%,4.12%,3.27%,-,2.01M,0.69,64.99,-0.55%,"605,940"
148,HIG,-1.11%,1.31%,-10.68%,-0.58%,-4.54%,-5.85%,1.94%,1.66%,2.00,1.82M,0.64,65.11,0.17%,"512,207"
149,OXY,-11.13%,13.34%,-3.92%,20.77%,158.02%,130.70%,3.84%,4.28%,2.50,26.98M,0.96,65.58,-1.94%,"11,302,247"
150,MET,-0.58%,2.76%,-2.74%,4.97%,6.26%,4.10%,2.27%,1.75%,1.70,4.19M,0.59,65.87,1.26%,"1,077,219"
151,PEG,-4.35%,-1.87%,-7.11%,-6.17%,-0.95%,-4.80%,2.13%,1.54%,2.10,2.61M,1.39,66.04,3.95%,"1,584,176"
152,WRB,-0.68%,6.26%,-7.49%,11.70%,35.12%,20.53%,1.90%,1.72%,2.30,1.26M,0.41,66.24,0.82%,"228,561"
153,OMC,-3.28%,-4.53%,-9.32%,-12.18%,-10.56%,-9.99%,2.04%,1.78%,2.50,1.37M,0.29,66.62,1.02%,"175,608"
154,ON,-4.99%,-2.34%,0.06%,23.41%,44.50%,-2.75%,4.50%,4.63%,2.00,9.54M,0.48,66.81,1.15%,"2,021,132"
155,HOLX,0.10%,-5.45%,-10.14%,-5.78%,-15.88%,-11.82%,1.87%,1.98%,2.40,1.56M,0.79,67.51,0.00%,"540,848"
156,EIX,-5.43%,-3.50%,-5.09%,-0.48%,12.31%,-3.49%,2.47%,1.89%,2.30,1.60M,0.92,67.54,2.54%,"646,354"
157,O,-3.20%,-6.89%,1.15%,4.76%,-3.23%,-5.36%,1.82%,1.41%,2.30,3.58M,0.60,67.95,0.30%,"936,561"
158,DVN,-6.20%,22.75%,-9.75%,16.11%,145.62%,57.87%,3.94%,3.87%,2.10,12.66M,0.93,68.51,-1.48%,"5,150,488"
